,incident_number,address,incident_type,datetime,latitude,longitude,color,icon,marker_text,neighborhood
1,F220107174,N 140th St / Aurora Ave N,Nurseline/AMR,2022-09-04 02:09:00,47.730492,-122.345057,green,user-md,<p>Incident: F220107174</p><p>Date: 2022-09-04</p><p>Time: 02:09:00</p><p>Type: Nurseline/AMR</p>,Olympic Hills
2,F220107175,6600 Roosevelt Way Ne,Aid Response,2022-09-04 02:11:00,47.676554,-122.317373,red,ambulance,<p>Incident: F220107175</p><p>Date: 2022-09-04</p><p>Time: 02:11:00</p><p>Type: Aid Response</p>,Bitter Lake
3,F220107179,5001 Ravenna Ave Ne,Triaged Incident,2022-09-04 02:34:00,47.665,-122.30345,red,plus-square,<p>Incident: F220107179</p><p>Date: 2022-09-04</p><p>Time: 02:34:00</p><p>Type: Triaged Incident</p>,Roosevelt
4,F220107180,5403 21st Ave Sw,Aid Response,2022-09-04 02:35:00,47.553692,-122.360033,red,ambulance,<p>Incident: F220107180</p><p>Date: 2022-09-04</p><p>Time: 02:35:00</p><p>Type: Aid Response</p>,University District
5,F220107181,14002 Linden Ave N,Aid Response,2022-09-04 02:37:00,47.730569,-122.347758,red,ambulance,<p>Incident: F220107181</p><p>Date: 2022-09-04</p><p>Time: 02:37:00</p><p>Type: Aid Response</p>,Riverview
6,F220107182,1st Ave / Virginia St,1RED 1 Unit,2022-09-04 02:40:00,47.611068,-122.342612,purple,asterisk,<p>Incident: F220107182</p><p>Date: 2022-09-04</p><p>Time: 02:40:00</p><p>Type: 1RED 1 Unit</p>,Bitter Lake
7,F220107184,4302 Sw Alaska St,Nurseline/AMR,2022-09-04 02:45:00,47.561106,-122.386792,green,user-md,<p>Incident: F220107184</p><p>Date: 2022-09-04</p><p>Time: 02:45:00</p><p>Type: Nurseline/AMR</p>,Pike-Market
8,F220107186,1551 Minor Ave,Auto Fire Alarm,2022-09-04 02:58:00,47.614436,-122.328268,orange,fire,<p>Incident: F220107186</p><p>Date: 2022-09-04</p><p>Time: 02:58:00</p><p>Type: Auto Fire Alarm</p>,Genesee
9,F220107187,5776 West Green Lake Way N,4RED - 2 + 1 + 1,2022-09-04 03:02:00,47.670377,-122.341986,purple,asterisk,<p>Incident: F220107187</p><p>Date: 2022-09-04</p><p>Time: 03:02:00</p><p>Type: 4RED - 2 + 1 + 1</p>,Broadway
10,F220107188,3rd Ave / Cherry St,Aid Response,2022-09-04 03:05:00,47.603484,-122.332062,red,ambulance,<p>Incident: F220107188</p><p>Date: 2022-09-04</p><p>Time: 03:05:00</p><p>Type: Aid Response</p>,Phinney Ridge
11,F220107189,6th Ave S / S Lane St,Aid Response,2022-09-04 03:07:00,47.596676,-122.32637,red,ambulance,<p>Incident: F220107189</p><p>Date: 2022-09-04</p><p>Time: 03:07:00</p><p>Type: Aid Response</p>,Pioneer Square
12,F220107190,6801 Greenwood Ave N,Auto Fire Alarm,2022-09-04 03:13:00,47.678454,-122.355318,orange,fire,<p>Incident: F220107190</p><p>Date: 2022-09-04</p><p>Time: 03:13:00</p><p>Type: Auto Fire Alarm</p>,International District
13,F220107193,14100 Linden Ave N,Medic Response,2022-09-04 03:26:00,47.73104,-122.347764,red,ambulance,<p>Incident: F220107193</p><p>Date: 2022-09-04</p><p>Time: 03:26:00</p><p>Type: Medic Response</p>,Phinney Ridge
14,F220107195,100 Taylor Ave N,AFA4 - Auto Alarm 2 + 1 + 1,2022-09-04 03:46:00,47.618566,-122.346316,purple,asterisk,<p>Incident: F220107195</p><p>Date: 2022-09-04</p><p>Time: 03:46:00</p><p>Type: AFA4 - Auto Alarm 2 + 1 + 1</p>,Bitter Lake
15,F220107196,901 Fairview Ave N,Auto Fire Alarm,2022-09-04 03:44:00,47.627324,-122.332667,orange,fire,<p>Incident: F220107196</p><p>Date: 2022-09-04</p><p>Time: 03:44:00</p><p>Type: Auto Fire Alarm</p>,South Lake Union
16,F220107197,5847 Ne 75th St,Auto Fire Alarm,2022-09-04 03:51:00,47.682927,-122.265084,orange,fire,<p>Incident: F220107197</p><p>Date: 2022-09-04</p><p>Time: 03:51:00</p><p>Type: Auto Fire Alarm</p>,South Lake Union
17,F220107200,6240 26th Ave Ne,Aid Response,2022-09-04 03:57:00,47.674209,-122.299591,red,ambulance,<p>Incident: F220107200</p><p>Date: 2022-09-04</p><p>Time: 03:57:00</p><p>Type: Aid Response</p>,View Ridge
18,F220107201,Minor Ave / Olive Way,Aid Response,2022-09-04 03:58:00,47.615914,-122.32962,red,ambulance,<p>Incident: F220107201</p><p>Date: 2022-09-04</p><p>Time: 03:58:00</p><p>Type: Aid Response</p>,Ravenna
19,F220107204,1815 Terry Ave,Nurseline/AMR,2022-09-04 04:12:00,47.615602,-122.332488,green,user-md,<p>Incident: F220107204</p><p>Date: 2022-09-04</p><p>Time: 04:12:00</p><p>Type: Nurseline/AMR</p>,Central Business District
20,F220107205,3010 1st Ave,Auto Fire Alarm,2022-09-04 04:15:00,47.617889,-122.354153,orange,fire,<p>Incident: F220107205</p><p>Date: 2022-09-04</p><p>Time: 04:15:00</p><p>Type: Auto Fire Alarm</p>,Belltown
21,F220107207,33rd Ave E / E Madison St,Medic Response,2022-09-04 04:24:00,47.627998,-122.289516,red,ambulance,<p>Incident: F220107207</p><p>Date: 2022-09-04</p><p>Time: 04:24:00</p><p>Type: Medic Response</p>,Belltown
22,F220107210,77 S Washington St,Aid Response Yellow,2022-09-04 04:44:00,47.600885,-122.334925,green,ambulance,<p>Incident: F220107210</p><p>Date: 2022-09-04</p><p>Time: 04:44:00</p><p>Type: Aid Response Yellow</p>,Madison Park
23,F220107212,2612 Sw Nevada St,1RED 1 Unit,2022-09-04 05:10:00,47.565449,-122.365619,purple,asterisk,<p>Incident: F220107212</p><p>Date: 2022-09-04</p><p>Time: 05:10:00</p><p>Type: 1RED 1 Unit</p>,Pioneer Square
24,F220107214,3rd Ave / Stewart St,Aid Response,2022-09-04 05:43:00,47.611629,-122.339592,red,ambulance,<p>Incident: F220107214</p><p>Date: 2022-09-04</p><p>Time: 05:43:00</p><p>Type: Aid Response</p>,North Delridge
25,F220107216,420 Boylston Ave E,Aid Response,2022-09-04 05:56:00,47.62222,-122.323073,red,ambulance,<p>Incident: F220107216</p><p>Date: 2022-09-04</p><p>Time: 05:56:00</p><p>Type: Aid Response</p>,Central Business District
26,F220107217,152 N 130th St,Medic Response,2022-09-04 06:03:00,47.72324,-122.356755,red,ambulance,<p>Incident: F220107217</p><p>Date: 2022-09-04</p><p>Time: 06:03:00</p><p>Type: Medic Response</p>,Broadway
27,F220107219,225 12th Ave S,Triaged Incident,2022-09-04 06:19:00,47.600561,-122.317259,red,plus-square,<p>Incident: F220107219</p><p>Date: 2022-09-04</p><p>Time: 06:19:00</p><p>Type: Triaged Incident</p>,Broadview
28,F220107220,325 9th Ave,Single Medic Unit,2022-09-04 06:20:00,47.603588,-122.322949,red,ambulance,<p>Incident: F220107220</p><p>Date: 2022-09-04</p><p>Time: 06:20:00</p><p>Type: Single Medic Unit</p>,Yesler Terrace
29,F220107221,201 W Olympic Pl,Aid Response,2022-09-04 06:21:00,47.626726,-122.359306,red,ambulance,<p>Incident: F220107221</p><p>Date: 2022-09-04</p><p>Time: 06:21:00</p><p>Type: Aid Response</p>,Yesler Terrace
30,F220107222,12532 Greenwood Ave N,Fire in Building,2022-09-04 06:20:00,47.719885,-122.35554,red,house-fire,<p>Incident: F220107222</p><p>Date: 2022-09-04</p><p>Time: 06:20:00</p><p>Type: Fire in Building</p>,Lower Queen Anne
31,F220107224,7125 Fauntleroy Way Sw,Medic Response,2022-09-04 06:35:00,47.539419,-122.390816,red,ambulance,<p>Incident: F220107224</p><p>Date: 2022-09-04</p><p>Time: 06:35:00</p><p>Type: Medic Response</p>,Broadview
32,F220107225,3817 M L King Jr Way S,Aid Response,2022-09-04 06:37:00,47.569982,-122.296971,red,ambulance,<p>Incident: F220107225</p><p>Date: 2022-09-04</p><p>Time: 06:37:00</p><p>Type: Aid Response</p>,Gatewood
33,F220107226,12045 AURORA AVE N,Aid Response,2022-09-04 06:33:00,47.716846,-122.34489,red,ambulance,<p>Incident: F220107226</p><p>Date: 2022-09-04</p><p>Time: 06:33:00</p><p>Type: Aid Response</p>,Columbia City
34,F220107227,3610 33RD AVE S,Aid Response,2022-09-04 06:47:00,47.571499,-122.290999,red,ambulance,<p>Incident: F220107227</p><p>Date: 2022-09-04</p><p>Time: 06:47:00</p><p>Type: Aid Response</p>,Bitter Lake
35,F220107228,N 105th St / Aurora Ave N,Illegal Burn,2022-09-04 06:51:00,47.705051,-122.344694,orange,fire-extinguisher,<p>Incident: F220107228</p><p>Date: 2022-09-04</p><p>Time: 06:51:00</p><p>Type: Illegal Burn</p>,Mount Baker
36,F220107230,420 Boylston Ave E,Aid Response,2022-09-04 07:00:00,47.62222,-122.323073,red,ambulance,<p>Incident: F220107230</p><p>Date: 2022-09-04</p><p>Time: 07:00:00</p><p>Type: Aid Response</p>,Greenwood
37,F220107231,10TH AVE S / S DEARBORN ST,Encampment Fire,2022-09-04 07:00:00,47.595825,-122.319215,purple,asterisk,<p>Incident: F220107231</p><p>Date: 2022-09-04</p><p>Time: 07:00:00</p><p>Type: Encampment Fire</p>,Broadway
38,F220107234,4515 41st Ave Sw,Aid Response,2022-09-04 07:16:00,47.562739,-122.384135,red,ambulance,<p>Incident: F220107234</p><p>Date: 2022-09-04</p><p>Time: 07:16:00</p><p>Type: Aid Response</p>,International District
39,F220107235,200 Cedar St,Aid Response,2022-09-04 07:28:00,47.616467,-122.349757,red,ambulance,<p>Incident: F220107235</p><p>Date: 2022-09-04</p><p>Time: 07:28:00</p><p>Type: Aid Response</p>,Genesee
40,F220107237,10245 39th Ave Sw,Medic Response,2022-09-04 07:35:00,47.51157,-122.381654,red,ambulance,<p>Incident: F220107237</p><p>Date: 2022-09-04</p><p>Time: 07:35:00</p><p>Type: Medic Response</p>,Belltown
41,F220107238,3rd Ave / Spring St,Aid Response,2022-09-04 07:36:00,47.606337,-122.334672,red,ambulance,<p>Incident: F220107238</p><p>Date: 2022-09-04</p><p>Time: 07:36:00</p><p>Type: Aid Response</p>,Arbor Heights
42,F220107239,11045 8th Ave Ne,Low Acuity Response,2022-09-04 07:40:00,47.7089,-122.320568,purple,asterisk,<p>Incident: F220107239</p><p>Date: 2022-09-04</p><p>Time: 07:40:00</p><p>Type: Low Acuity Response</p>,Central Business District
43,F220107240,1618 E Calhoun St,Aid Response,2022-09-04 07:56:00,47.641022,-122.310498,red,ambulance,<p>Incident: F220107240</p><p>Date: 2022-09-04</p><p>Time: 07:56:00</p><p>Type: Aid Response</p>,Pinehurst
